Trade_ID,Timestamp,Symbol,Action,Price_INR,Quantity,PnL_INR,Exit_Reason,New_Balance_INR
1,Day 01, Bar 12:00,NIFTY_FUT,SELL_STOP,24613.57,3.6565,-900.00,STOP_LOSS_1.0%,99100.00
2,Day 01, Bar 17:00,NIFTY_FUT,SELL_PROFIT,24437.20,3.6498,2229.75,TAKE_PROFIT_2.5%,101329.75
3,Day 02, Bar 01:00,NIFTY_FUT,SELL_PROFIT,26350.95,3.4609,2279.92,TAKE_PROFIT_2.5%,103609.67
4,Day 02, Bar 13:00,NIFTY_FUT,SELL_PROFIT,25509.08,3.6555,2331.22,TAKE_PROFIT_2.5%,105940.89
5,Day 02, Bar 18:00,NIFTY_FUT,SELL_PROFIT,25508.81,3.7378,2383.67,TAKE_PROFIT_2.5%,108324.56
6,Day 03, Bar 01:00,NIFTY_FUT,SELL_PROFIT,25825.30,3.7751,2437.30,TAKE_PROFIT_2.5%,110761.86
7,Day 03, Bar 02:00,NIFTY_FUT,SELL_STOP,26197.19,3.8052,-996.86,STOP_LOSS_1.0%,109765.00
8,Day 03, Bar 13:00,NIFTY_FUT,SELL_STOP,25109.82,3.9343,-987.89,STOP_LOSS_1.0%,108777.12
9,Day 03, Bar 14:00,NIFTY_FUT,SELL_PROFIT,25697.39,3.8097,2447.49,TAKE_PROFIT_2.5%,111224.60
10,Day 03, Bar 18:00,NIFTY_FUT,SELL_PROFIT,25728.92,3.8906,2502.55,TAKE_PROFIT_2.5%,113727.16
11,Day 03, Bar 19:00,NIFTY_FUT,SELL_STOP,25945.04,3.9450,-1023.54,STOP_LOSS_1.0%,112703.61
12,Day 04, Bar 02:00,NIFTY_FUT,SELL_PROFIT,26679.68,3.8019,2535.83,TAKE_PROFIT_2.5%,115239.44
13,Day 04, Bar 03:00,NIFTY_FUT,SELL_PROFIT,27111.89,3.8255,2592.89,TAKE_PROFIT_2.5%,117832.33
14,Day 04, Bar 14:00,NIFTY_FUT,SELL_STOP,26539.76,3.9959,-1060.49,STOP_LOSS_1.0%,116771.84
15,Day 04, Bar 19:00,NIFTY_FUT,SELL_PROFIT,27405.25,3.8348,2627.37,TAKE_PROFIT_2.5%,119399.21
16,Day 05, Bar 03:00,NIFTY_FUT,SELL_STOP,27057.47,3.9715,-1074.59,STOP_LOSS_1.0%,118324.61
17,Day 05, Bar 20:00,NIFTY_FUT,SELL_STOP,28437.96,3.7447,-1064.92,STOP_LOSS_1.0%,117259.69
18,Day 05, Bar 25:00,NIFTY_FUT,SELL_PROFIT,27326.75,3.8619,2638.34,TAKE_PROFIT_2.5%,119898.03
19,Day 06, Bar 04:00,NIFTY_FUT,SELL_PROFIT,26941.86,4.0052,2697.71,TAKE_PROFIT_2.5%,122595.74
20,Day 06, Bar 09:00,NIFTY_FUT,SELL_PROFIT,26923.14,4.0982,2758.40,TAKE_PROFIT_2.5%,125354.14
21,Day 06, Bar 20:00,NIFTY_FUT,SELL_PROFIT,29356.60,3.8430,2820.47,TAKE_PROFIT_2.5%,128174.61
22,Day 06, Bar 21:00,NIFTY_FUT,SELL_PROFIT,29110.01,3.9628,2883.93,TAKE_PROFIT_2.5%,131058.54
23,Day 07, Bar 04:00,NIFTY_FUT,SELL_STOP,27892.38,4.2289,-1179.53,STOP_LOSS_1.0%,129879.01
24,Day 07, Bar 05:00,NIFTY_FUT,SELL_PROFIT,27875.64,4.1933,2922.28,TAKE_PROFIT_2.5%,132801.29
25,Day 07, Bar 09:00,NIFTY_FUT,SELL_PROFIT,28517.11,4.1912,2988.03,TAKE_PROFIT_2.5%,135789.32
26,Day 07, Bar 21:00,NIFTY_FUT,SELL_STOP,29292.52,4.1721,-1222.10,STOP_LOSS_1.0%,134567.22
27,Day 07, Bar 22:00,NIFTY_FUT,SELL_PROFIT,29099.19,4.1620,3027.76,TAKE_PROFIT_2.5%,137594.98
